TemplateID,TemplateName,TemplateSynonyms,TemplateSource,TemplateType,TemplateSequence,TemplateStructure,TemplateComments
77,"Non-structural protein 4A, NS4A",p8,Hepatitis C virus genotype 1a (isolate 1) (HCV):11104,Protein>Others,P26664 [1658-1711],"1RTL, 2A4G, 2GVF, 3EYD, 3HKW, 3KN2, 3QGH, 3QGI, 3RC4, 3RC5",NULL
78,Ferrichrome-iron receptor,"Ferric hydroxamate uptake
Ferric hydroxamate receptor",Escherichia coli (strain K12):83333,Protein>Receptor,P06971,"1BY3, 1BY5, 1FCP, 1FI1, 1QFF, 1QFG, 1QJQ, 1QKC, 2FCP, 2GRX",NULL
79,Vitamin B12 transporter btuB,"Cobalamin receptor
Outer membrane cobalamin translocator",Escherichia coli (strain K12):83333,Protein>Receptor,P06129,"1NQE, 1NQF, 1NQG, 1NQH, 1UJW, 2GSK, 2GUF, 2YSU, 3M8B, 3M8D, 3RGM, 3RGN",NULL
80,Fe(3+) dicitrate transport protein fecA,Iron(III) dicitrate transport protein fecA,Escherichia coli (strain K12):83333,Protein>Others,P13036,"1KMO, 1KMP, 1PNZ, 1PO0, 1PO3, 1ZZV, 2D1U",NULL
81,Ferrienterobactin receptor,Enterobactin outer-membrane receptor,Escherichia coli (strain K12):83333,Protein>Receptor,P05825,1FEP,NULL
82,"Tenascin,TN","Tenascin-C, TN-C
Hexabrachion
Cytotactin
Neuronectin
GMEM
JI
Myotendinous antigen
Glioma-associated-extracellular matrix antigen
GP 150-225",Homo sapiens (Human):9606,Protein>Others,P24821,"1TEN, 2RB8, 2RBL",NULL
83,"Microcystin-LR, MC-LR",NULL,Cyanobacteria:1117,Protein>Others,NULL,NULL,"Microcystins are a group of stable cyclic heptapeptide toxins produced by cyanobacterial blooms, which cause environmental contamination."
84,Disialoganglioside GD2,NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,NULL
85,"Pro-epidermal growth factor, EGF",NULL,Homo sapiens (Human):9606,Protein>Others,P01133,"1IVO, 1JL9, 1NQL, 1P9J, 2KV4, 3NJP",NULL
86,"Envelope glycoprotein E, gE",NULL,Bovine herpesvirus 1.2 (strain ST) (BoHV-1) (Infectious bovine rhinotracheitis virus):45407,Protein>Others,Q08101,NULL,NULL
87,Hemagglutinin glycoprotein,NULL,Measles virus (strain Halle) (MeV) (Subacute sclerose panencephalitis virus):11236,Protein>Others,P06830,NULL,NULL
88,Pollen allergen Phl p 5a,"Allergen Phl p Va
Allergen=Phl p 5a",Phleum pratense (Common timothy):15957,Protein>Others,Q40962,NULL,NULL
89,"Myelin basic protein, MBP","Myelin A1 protein
Myelin membrane encephalitogenic protein",Homo sapiens (Human):9606,Protein>Others,P02686,"1BX2, 1FV1, 1HQR, 1YMM, 1ZGL",NULL
90,Shiga toxin,Verotoxin,Escherichia coli O157:H7:83334,Protein>Others,NULL,NULL,NULL
91,ATP,NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
92,Nucleosome,NULL,Unknown,Miscellaneous,NULL,NULL,NULL
93,"Meningococcal serogroup C capsular polysaccharide, MCPS",NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,NULL
94,C-C chemokine receptor type 5,"C-C CKR-5, CC-CKR-5, CCR-5, CCR5
HIV-1 fusion coreceptor
CHEMR13
CD_antigen=CD195",Homo sapiens (Human):9606,Protein>Receptor,P51681,"2L87, 2RLL, 2RRS",NULL
95,Mycobacterium bovis BCG,NULL,Unknown,Cell,NULL,NULL,NULL
96,"Vascular endothelial growth factor receptor 1, VEGFR-1","Vascular permeability factor receptor
Tyrosine-protein kinase receptor FLT
Tyrosine-protein kinase FRT
Fms-like tyrosine kinase 1, FLT-1
EC=2.7.10.1",Homo sapiens (Human):9606,Protein>Enzyme,P17948,"1FLT, 1QSV, 1QSZ, 1QTY, 1RV6, 2XAC, 3HNG, 4CKV, 4CL7",NULL
97,Protease inhibitors,NULL,Unknown,Protein>Others,NULL,NULL,NULL
98,"Interleukin-4, IL-4","B-cell stimulatory factor 1, BSF-1
Lymphocyte stimulatory factor 1
Binetrakin
Pitrakinra",Homo sapiens (Human):9606,Protein>Others,P05112,"1BBN, 1BCN, 1CYL, 1HIJ, 1HIK, 1HZI, 1IAR, 1ITI, 1ITL, 1ITM, 1RCB, 2B8U, 2B8X, 2B8Y, 2B8Z, 2B90, 2B91, 2CYK, 2D48, 2INT, 3BPL, 3BPN, 3QB7",NULL
99,Natural killer cells antigen CD94,"NK cell receptor
Killer cell lectin-like receptor subfamily D member 1
KP43
CD_antigen=CD94",Homo sapiens (Human):9606,Protein>Receptor,Q13241,"1B6E, 3BDW, 3CDG, 3CII",NULL
100,"Hepatitis A virus, HAV",NULL,Hepatitis A virus:12092,Virus,NULL,NULL,NULL
101,Neisseria meningitidis serogroup B capsular polysaccharide (MenB CP),NULL,Neisseria meningitidis:487,Organic molecules or materials,NULL,NULL,NULL
102,PPAR-gamma coactivators,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,NULL
103,"Mucin-1, MUC-1","Polymorphic epithelial mucin, PEM
PEMT
Episialin
Tumor-associated mucin
Carcinoma-associated mucin
Tumor-associated epithelial membrane antigen, EMA
H23AG
Peanut-reactive urinary mucin, PUM
Breast carcinoma-associated antigen DF3
CD_antigen=CD227",Homo sapiens (Human):9606,Protein>Others,P15941,"2ACM, 2FO4","The mucin-1 is a very large and heavily glycosylated protein, normally presented on the luminal surface of various secretory epithelial cells such as breast, ovaries, prostate, lung, and colon."
104,Calreticulin,"CRP55
Calregulin
HACBP
Endoplasmic reticulum resident protein 60, ERp60
grp60",Homo sapiens (Human):9606,Protein>Others,P27797,"2CLR, 3DOW, 3POS, 3POW",NULL
105,Hepatocyte growth factor-hepatocyte growth factor receptor complex (HGF-cMET),"Hepatocyte growth factor alternative name(s):
Scatter factor, SF
Hepatopoeitin-A

Hepatocyte growth factor receptor alternative name(s):
HGF receptor
Scatter factor receptor, SF receptor
HGF/SF receptor
Tyrosine-protein kinase Met
Proto-oncogene c-Met",Homo sapiens (Human):9606,Protein>Others,"P14210, P08581","1BHT, 1GMN, 1GMO, 1GP9, 1NK1, 1SHY, 1SI5, 2HGF, 2QJ2, 3HMS, 3HMT, 3HN4, 3MKP, 3SP8, 1FYR, 1R0P, 1R1W, 1SHY, 1SSL, 2G15, 2RFN, 2RFS, 2UZX, 2UZY, 2WD1, 2WGJ, 2WKM, 3A4P, 3BUX, 3C1X, 3CCN, 3CD8, 3CE3, 3CTH, 3CTJ, 3DKC, 3DKF, 3DKG, 3EFJ, 3EFK, 3F66, 3F82, 3I5N, 3L8V, 3LQ8, 3Q6U, 3Q6W, 3QTI, 3R7O, 3RHK, 3U6H, 3U6I, 3ZXZ, 3ZZE, 4AOI, 4AP7, 4DEG, 4DEH, 4DEI, 4EEV, 4GG5, 4GG7",NULL
106,N-acetylglucosaminyl-beta1-4-N-acetylmuramyl-alanyl-d-isoglutamine (GMDP),NULL,Unknown,Organic molecules or materials,NULL,NULL,"N-acetylglucosaminyl-beta1-4-N-acetylmuramyl-alanyl-d-isoglutamine, also known as glucosaminylmuramyl dipeptide (GMDP), is the repeating unit of murein, which is a component of bacterial cell wall. GMDP has a strong immunomodulatory activity. In this study, GMDP was synthesized."
107,Peptide PYANPSL,NULL,None,Protein>Others,NULL,NULL,PYANPSL is selected from a phage library with rituximab and is regarded as a mimotope of CD20.
108,Peptide WAANPSM,NULL,None,Protein>Others,NULL,NULL,WAANPSM is selected from a phage library with rituximab and is regarded as a mimotope of CD20.
109,Hepatocyte growth factor,"Scatter factor, SF
Hepatopoeitin-A",Homo sapiens (Human):9606,Protein>Others,P14210,"1BHT, 1GMN, 1GMO, 1GP9, 1NK1, 1SHY, 1SI5, 2HGF, 2QJ2, 3HMS, 3HMT, 3HN4, 3MKP, 3SP8, 4K3J, 4O3T, 4O3U",NULL
110,"Angiotensin-converting enzyme, ACE","Dipeptidyl carboxypeptidase I
Kininase II
CD_antigen=CD143
EC=3.2.1.-
EC=3.4.15.1",Homo sapiens (Human):9606,Protein>Enzyme,P12821,"1O86, 1O8A, 1UZE, 1UZF, 2C6F, 2C6N, 2IUL, 2IUX, 2OC2, 2XY9, 2XYD, 2YDM, 3BKK, 3BKL, 3L3N, 3NXQ, 4APH, 4APJ",NULL
111,Envelope glycoprotein gp160,Env polyprotein,Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1):11678,Protein>Others,P03375,"2ARI, 3VGY, 3VH7, 3VU5, 3VU6",NULL
112,Monoclonal antibody 4B4,NULL,Unknown,Protein>Monoclonal antibody,NULL,NULL,NULL
113,T-cell surface glycoprotein CD4,"T-cell surface antigen T4/Leu-3
CD_antigen=CD4",Homo sapiens (Human):9606,Protein>Others,P01730,"1CDH, 1CDI, 1CDJ, 1CDU, 1CDY, 1G9M, 1G9N, 1GC1, 1JL4, 1Q68, 1RZJ, 1RZK, 1WBR, 1WIO, 1WIP, 1WIQ, 2B4C, 2JKR, 2JKT, 2KLU, 2NXY, 2NXZ, 2NY0, 2NY1, 2NY2, 2NY3, 2NY4, 2NY5, 2NY6, 2QAD, 3B71, 3CD4, 3JWD, 3JWO, 3LQA, 3O2D, 3S4S, 3S5L, 3T0E",NULL
114,Avibacterium paragallinarum strain 0083 (serovar A),NULL,Avibacterium paragallinarum strain 0083 (serovar A),Cell,NULL,NULL,NULL
115,Heat-labile enterotoxin B chain,NULL,Clostridium perfringens:1502,Protein>Others,P01558,"2QUO, 2XH6, 2YHJ, 3AM2",NULL
116,"Fc domain of IgG (IGHG1,IGHG2,IGHG3,IGHG4)",Human IgG Fc fragment,Homo sapiens (Human):9606,Protein>Polyclonal antibody,"P01857, P01859, P01860, P01861","IGHG1: 1AJ7, 1AQK, 1BEY, 1D5B, 1D5I, 1D6V, 1DFB, 1DN2, 1E4K, 1FC1, 1FC2, 1FCC, 1GAF, 1H3T, 1H3U, 1H3V, 1H3W, 1H3Y, 1HKL, 1HZH, 1I7Z, 1L6X, 1OP3, 1OQO, 1OQX, 1T83, 1T89, 1VGE, 2DTS, 2GJ7, 2I5Y, 2IWG, 2J6E, 2JB5, 2JB6, 2O5X, 2O5Y, 2O5Z, 2OSL, 2QAD, 2QL1, 2QQK, 2QQL, 2QQN, 2QR0, 2R56, 2RCS, 2VXQ, 3AGV, 3AVE, 3AY4, 3B2U, 3B2V, 3BDY, 3BE1, 3BKY, 3BN9, 3BQU, 3C08, 3C09, 3C2S, 3CFJ, 3CFK, 3CSY, 3D0L, 3D0V, 3D6G, 3D85, 3DJ9, 3DNK, 3DO3, 3DRO, 3DRQ, 3DVG, 3DVN, 3EYF, 3EYO, 3EYQ, 3RY6, 3S7G, 3SGJ, 3SGK, 3TV3, 3TWC, 3TYG, 3U0W, 3U7W, 3U7Y, 3V7M, 3V8C, 3V95, 4ACP, 4B7I, 4DZ8, 4EOW, 4J12
IGHG2: 2QSC
IGHG4: 1ADQ, 1BBJ, 2FL5, 4B53",NULL
117,Cadherin-2,"Neural cadherin, N-cadherin
CDw325
CD_antigen=CD325",Homo sapiens (Human):9606,Protein>Others,P19022,NULL,NULL
118,Hemagglutinin,NULL,Influenza A virus (strain A/Chicken/Hong Kong/YU22/2002 H5N1 genotype Z):284177,Protein>Others,Q6DQ18,NULL,NULL
119,"Angiopoietin-1, ANG-1",NULL,Homo sapiens (Human):9606,Protein>Others,Q15389,"4EPU, 4JYO, 4K0V",NULL
120,"Lipopolysaccharide, LPS",NULL,Burkholderia pseudomallei:28450,Organic molecules or materials,NULL,NULL,NULL
121,"Exopolysaccharide, EPS",NULL,Burkholderia pseudomallei:28450,Organic molecules or materials,NULL,NULL,NULL
122,"Non-specific lipid-transfer protein 1, LTP 1","Major allergen Pru p 3
Allergen Pru p 1
Allergen=Pru p 3",Prunus persica (Peach):3760,Protein>Others,P81402,"2ALG, 2B5S",NULL
123,Catalase,NULL,Helicobacter pylori (Campylobacter pylori):210,Protein>Others,P77872,"1QWL, 1QWM, 2A9E, 2IQF",NULL
124,"Nucleoprotein, Protein N",Nucleocapsid protein,Hendra virus:928303,Protein>Others,O89339,NULL,NULL
125,Blood group A antigen,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,2VNG,NULL
126,Heat shock protein HSP90,NULL,Achlya ambisexualis (Water mold):4768,Protein>Others," Q8LLI5, Q8LLI6",NULL,NULL
127,Heat shock protein DnaK,NULL,Escherichia coli:562,Protein>Others,C3TRK2,NULL,NULL
128,"Cathepsin L1, Cathepsin L2",NULL,Fasciola hepatica:6192,Protein>Others,"Q09093, P80342",NULL,NULL
129,Ig epsilon chain C region,NULL,Homo sapiens (Human):9606,Protein>Others,P01854,"1F6A, 1FP5, 1G84, 1O0V, 2WQR, 2Y7Q, 3H9Y, 3H9Z, 3HA0, 4EZM, 4GRG, 4GT7",NULL
130,"Lipooligosaccharide, LOS",NULL,Haemophilus influenzae:727,Organic molecules or materials,NULL,NULL,NULL
131,Ig gamma-1 chain C region,NULL,Homo sapiens (Human):9606,Protein>Others,P01857,"1AJ7, 1AQK, 1BEY, 1D5B, 1D5I, 1D6V, 1DFB, 1DN2, 1E4K, 1FC1, 1FC2, 1FCC, 1GAF, 1H3T, 1H3U, 1H3V, 1H3W, 1H3Y, 1HKL, 1HZH, 1I7Z, 1L6X, 1OP3, 1OQO, 1OQX, 1T83, 1T89, 1VGE, 2DTS, 2GJ7, 2I5Y, 2IWG, 2J6E, 2JB5, 2JB6, 2O5X, 2O5Y, 2O5Z, 2OSL, 2QAD, 2QL1, 2QQK, 2QQL, 2QQN, 2QR0, 2R56, 2RCS, 2VXQ, 3AGV, 3AVE, 3AY4, 3B2U, 3B2V, 3BDY, 3BE1, 3BKY, 3BN9, 3BQU, 3C08, 3C09, 3C2S, 3CFJ, 3CFK, 3CSY, 3D0L, 3D0V, 3D6G, 3D85, 3DJ9, 3DNK, 3DO3, 3DRO, 3DRQ, 3DVG, 3DVN, 3EYF, 3EYO, 3EYQ, 3RY6, 3S7G, 3SGJ, 3SGK, 3TV3, 3TWC, 3TYG, 3U0W, 3U7W, 3U7Y, 3V7M, 3V8C, 3V95, 4ACP, 4B7I, 4DZ8, 4EOW, 4J12",NULL
132,Proline-rich transmembrane protein 2,NULL,Homo sapiens (Human):9606,Protein>Others,Q7Z6L0,NULL,NULL
133,Histones H1 from calf thymus,NULL,Bos taurus (Bovine):9913,Protein>Others,NULL,NULL,"Mice were immunized eight times at 2-week intervals by the intraperitoneal administration of 50 μg of calf thymus histone H1 emulsified with Freund's complete adjuvant (FCA). In the final immunization, calf thymus histone H1 was administered without adding FCA."
134,Tumor necrosis factor receptor superfamily member 5,"CD40L receptor
B-cell surface antigen CD40
Bp50
CDw40
CD_antigen=CD40",Homo sapiens (Human):9606,Protein>Receptor,P25942,"1CZZ, 1D00, 1FLL, 1LB6, 3QD6",NULL
135,N-acetylgalactosamine,galactose,Unknown,Organic molecules or materials,NULL,NULL,NULL
136,Anti-glycoprotein G1 monoclonal antibody 6B9/F5,NULL,Mus musculus (Mouse):10090,Protein>Monoclonal antibody,NULL,NULL,This mouse monoclonal antibody (clone 6B9/F5; isotype: IgG2b) was obtained by immunization of mice with the recombinant N-terminal domain (aa1 - aa353) of glycoprotein 1 of Andes virus.
137,Anti-glycoprotein G2 monoclonal antibody 6C5/D12,NULL,Mus musculus (Mouse):10090,Protein>Monoclonal antibody,NULL,NULL,This mouse monoclonal antibody (clone 6C5/D12; isotype: IgG2a) was obtained by immunization of mice with the C-terminal domain (aa182 - aa491) of glycoprotein 2 of Andes virus.
138,"C-X-C chemokine receptor type 1, CXC-R1, CXCR-1","High affinity interleukin-8 receptor A, IL-8R A
IL-8 receptor type 1
CDw128a
CD_antigen=CD181",Homo sapiens (Human):9606,Protein>Receptor,P25024,"1ILP, 1ILQ, 2LNL",NULL
139,"C-X-C chemokine receptor type 2, CXC-R2, CXCR-2","High affinity interleukin-8 receptor B, IL-8R B
GRO/MGSA receptor
IL-8 receptor type 2
CDw128b
CD_antigen=CD182",Homo sapiens (Human):9606,Protein>Receptor,P25025,NULL,NULL
140,EG95 host-protective vaccine antigen,EG95 protein,Echinococcus granulosus:6210,Protein>Others,NULL,NULL,NULL
141,Zinc metalloproteinase neuwiedase,EC=3.4.24.-,Bothrops neuwiedi pauloensis (Neuwied's lancehead) (Bothrops pauloensis):95649,Protein>Enzyme,Q9I9R4,NULL,NULL
142,Scolex protein antigen from cysticercus cellulosae (SPACc),NULL,Taenia solium:6204,Protein>Others,NULL,NULL,NULL
143,Cadherin-1,"Epithelial cadherin, E-cadherin
Uvomorulin
CAM 120/80
CD_antigen=CD324",Homo sapiens (Human):9606,Protein>Others,P12830,"1O6S, 2O72, 2OMT, 2OMU, 2OMV, 2OMX, 2OMY, 2OMZ, 3FF7, 3FF8, 3L6X, 3L6Y",NULL
144,Glycoprotein G,NULL,Rabies virus (strain Pasteur vaccins / PV) (RABV):103929,Protein>Others,P08667,NULL,NULL
145,Fimbria adhesin protein,NULL,Klebsiella pneumoniae:573,Protein>Others,P21648,3U4K,NULL
146,Connective tissue growth factor,"Hypertrophic chondrocyte-specific protein 24
Insulin-like growth factor-binding protein 8, IGF-binding protein 8, IGFBP-8, IBP-8
CCN family member 2",Homo sapiens (Human):9606,Protein>Others,P29279,NULL,NULL
147,"Botulinum neurotoxin type A, BoNT/A","Bontoxilysin-A, BOTOX",Clostridium botulinum:1491,Protein>Others,P10845,"1XTF, 1XTG, 2ILP, 2IMA, 2IMB, 2IMC, 2ISE, 2ISG, 2ISH, 2NYY, 2NZ9, 2VU9, 2VUA, 2W2D, 3BOK, 3BON, 3BOO, 3BTA, 3BWI, 3C88, 3C89, 3C8A, 3C8B, 3DDA, 3DDB, 3DS9, 3FUO, 3V0A, 3V0B, 3V0C, 3ZUR, 3ZUS, 4EJ5, 4EL4, 4ELC, 4HEV",NULL
148,5-hydroxytryptamine receptor 2C,"5-HTR2C, 5-HT-2C, 5-HT2C
5-hydroxytryptamine receptor 1C, 5-HT-1C, 5-HT1C
Serotonin receptor 2C",Homo sapiens (Human):9606,Protein>Receptor,P28335,NULL,NULL
149,Cysteine-rich PDZ-binding protein,"Cysteine-rich interactor of PDZ three, Cysteine-rich interactor of PDZ3",Homo sapiens (Human):9606,Protein>Others,Q9P021,NULL,NULL
150,Antigens exposed in ischemic tissue,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,
151,"Keratinocyte growth factor, KGF","Fibroblast growth factor 7, FGF-7
Heparin-binding growth factor 7, HBGF-7",Homo sapiens (Human):9606,Protein>Others,P21781,NULL,NULL
152,Botulinum neurotoxin A heavy chain,NULL,Clostridium botulinum:1491,Protein>Others,P10845 [449-1296],"1XTF, 1XTG, 2ILP, 2IMA, 2IMB, 2IMC, 2ISE, 2ISG, 2ISH, 2NYY, 2NZ9, 2VU9, 2VUA, 2W2D, 3BOK, 3BON, 3BOO, 3BTA, 3BWI, 3C88, 3C89, 3C8A, 3C8B, 3DDA, 3DDB, 3DS9, 3FUO, 3V0A, 3V0B, 3V0C, 3ZUR, 3ZUS, 4EJ5, 4EL4, 4ELC, 4HEV",NULL
153,Methyl α-D-mannopyranoside,NULL,None,Organic molecules or materials,NULL,NULL,NULL
154,Taiwan cobra venom,NULL,Naja atra (Chinese cobra):8656,Organic molecules or materials,NULL,NULL,NULL
155,Serine protease pet autotransporter,NULL,Escherichia coli O44:H18 (strain 042 / EAEC):861906,Protein>Others,O68900,NULL,NULL
156,Serine protease pic autotransporter,NULL,Escherichia coli:562,Protein>Others,"Q8CWC7, Q7BS42",NULL,NULL
157,Macrophage migration inhibitory factor-like protein,NULL,Plasmodium falciparum:5833,Protein>Others,Q6Q3H7,NULL,NULL
158,"Non-specific lipid-transfer protein, LTP","Phospholipid transfer protein, PLTP
ns-LTP1",Triticum aestivum (Wheat):4565,Protein>Others,P24296,"1BWO, 1CZ2, 1GH1",NULL
159,Fibrinogen beta chain,NULL,Homo sapiens (Human):9606,Protein>Others,P02675,"1FZA, 1FZB, 1FZC, 1FZE, 1FZF, 1FZG, 1LT9, 1LTJ, 1N86, 1N8E, 1RE3, 1RE4, 1RF0, 1RF1, 2A45, 2FFD, 2H43, 2HLO, 2HOD, 2HPC, 2OYH, 2OYI, 2Q9I, 2XNX, 2XNY, 2Z4E, 3BVH, 3E1I, 3GHG, 3H32, 3HUS",NULL
160,Neurexin-1-beta,Neurexin I-beta,Homo sapiens (Human):9606,Protein>Others,P58400,3B3Q,NULL
161,Profilin,"Pollen allergen Cuc m 2
Allergen=Cuc m 2",Cucumis melo (Muskmelon):3656,Protein>Others,Q5FX67,NULL,NULL
162,SAG2 protein,"Surface antigen
Surface antigen P22",Toxoplasma gondii:5811,Protein>Others,Q27004,NULL,NULL
163,Cytokine receptor common subunit gamma (CD132),NULL,Gallus gallus (Chicken):9031,Protein>Receptor,GI:111610637,NULL,NULL
164,Interleukin 2,Interleukin-2,Gallus gallus (Chicken):9031,Protein>Others,O42288,NULL,NULL
165,Activated oncosphere TSOL18,NULL,Taenia solium (Pork tapeworm):6204,Protein>Others,O96346,NULL,NULL
166,Type I collagen,NULL,Homo sapiens (Human):9606,Protein>Others,"P02452, P08123","1Q7D, 2LLP, 3EJH, 3GXE",NULL
167,IL-2 alpha receptor,Interleukin-2 alpha receptor,Gallus gallus (Chicken):9031,Protein>Receptor,Q90WJ4,NULL,NULL
168,Dynamin-1-like protein,"Dynamin-like protein
Dnm1p/Vps1p-like protein, DVLP
Dynamin family member proline-rich carboxyl-terminal domain less, Dymple
Dynamin-related protein 1
Dynamin-like protein 4
Dynamin-like protein IV, HdynIV",Homo sapiens (Human):9606,Protein>Others,O00429,4BEJ,NULL
169,Tumor necrosis factor ligand superfamily member 10,"TNF-related apoptosis-inducing ligand, Protein TRAIL
Apo-2 ligand, Apo-2L
CD_antigen=CD253",Homo sapiens (Human):9606,Protein>Others,P50591,"1D0G, 1D2Q, 1D4V, 1DG6, 1DU3","Tumor necrosis factor ligand superfamily member 10 is a cytokine that binds to TNFRSF10A/TRAILR1, TNFRSF10B/TRAILR2, TNFRSF10C/TRAILR3, TNFRSF10D/TRAILR4 and possibly also to TNFRSF11B/OPG and then induces apoptosis. It functions as homotrimer."
170,Phomopsin A,NULL,Unknown,Protein>Others,NULL,NULL,"Phomopsin A (C36H45ClN6O12), the main mycotoxin, is a linear hexapeptide containing 3-hydroxy-L-isoleucine, 3,4-didehydro-L-valine, N-methyl-3-(3-chloro-4,5-dihydroxyphenyl) serine, E-2, 3-didehydro-aspartic acid, E-2, 3-didehydroisoleucine, and 3,4-didehydro-L-proline. Phomopsin A induces mitotic abnormalities in the liver with associated histopathology."
171,Apical membrane antigen 1,Merozoite surface antigen,Plasmodium chabaudi:5825,Protein>Others,P16445,NULL,NULL
172,Protein Nef,"Negative factor, F-protein
3'ORF",Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1):11678,Protein>Others,P03404,"1ZEC, 3TB8",NULL
173,"Protective antigen, PA","PA-83, PA83
Anthrax toxins translocating protein",Bacillus anthracis:1392,Protein>Others,P13423,"1ACC, 1T6B, 1TZN, 1TZO, 3ETB, 3INO, 3KWV, 3MHZ, 3Q8A, 3Q8B, 3Q8C, 3Q8E, 3Q8F, 3TEW, 3TEX, 3TEY, 3TEZ, 4EE2",NULL
174,"Complement receptor type 2, Cr2","Complement C3d receptor
Epstein-Barr virus receptor, EBV receptor                                                                                                                                                                                            
CD_antigen=CD21",Homo sapiens (Human):9606,Protein>Receptor,P20023,"1GHQ, 1LY2, 1W2R, 1W2S, 2GSX, 3OED",NULL
175,Cellular tumor antigen p53,"Antigen NY-CO-13
Phosphoprotein p53
Tumor suppressor p53",Homo sapiens (Human):9606,Protein>Others,P04637,"1A1U, 1AIE, 1C26, 1DT7, 1GZH, 1H26, 1HS5, 1JSP, 1KZY, 1MA3, 1OLG, 1OLH, 1PES, 1PET, 1SAE, 1SAF, 1SAK, 1SAL, 1TSR, 1TUP, 1UOL, 1XQH, 1YC5, 1YCQ, 1YCR, 1YCS, 2AC0, 2ADY, 2AHI, 2ATA, 2B3G, 2BIM, 2BIN, 2BIO, 2BIP, 2BIQ, 2F1X, 2FEJ, 2FOJ, 2FOO, 2GS0, 2H1L, 2H2D, 2H2F, 2H4F, 2H4H, 2H4J, 2H59, 2J0Z, 2J10, 2J11, 2J1W, 2J1X, 2J1Y, 2J1Z, 2J20, 2J21, 2K8F, 2L14, 2LY4, 2MEJ, 2MWO, 2MWP, 2MZD, 2OCJ, 2PCX, 2RUK, 2VUK, 2WGX, 2X0U, 2X0V, 2X0W, 2XWR, 2YBG, 2YDR, 2Z5S, 2Z5T, 3D05, 3D06, 3D07, 3D08, 3D09, 3D0A, 3DAB, 3DAC, 3IGK, 3IGL, 3KMD, 3KZ8, 3LW1, 3OQ5, 3PDH, 3Q01, 3Q05, 3Q06, 3SAK, 3TG5, 3TS8, 3ZME, 4AGL, 4AGM, 4AGN, 4AGO, 4AGP, 4AGQ, 4BUZ, 4BV2, 4HFZ, 4HJE, 4IBQ, 4IBS, 4IBT, 4IBU, 4IBV, 4IBW, 4IBY, 4IBZ, 4IJT, 4KVP, 4LO9, 4LOE, 4LOF, 4MZI, 4MZR, 4QO1","Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type. Involved in cell cycle regulation as a trans-activator that acts to negatively regulate cell division by controlling a set of genes required for this process. One of the activated genes is an inhibitor of cyclin-dependent kinases. Apoptosis induction seems to be mediated either by stimulation of BAX and FAS antigen expression, or by repression of Bcl-2 expression."
176,Outer capsid protein VP2,NULL,African horse sickness virus 3 (AHSV-3):117204,Protein>Others,Q89508,NULL,NULL
177,"Vascular endothelial growth factor A, VEGF-A","Vascular permeability factor, VPF",Homo sapiens (Human):9606,Protein>Others,P15692,"1BJ1, 1CZ8, 1FLT, 1KAT, 1KMX, 1MJV, 1MKG, 1MKK, 1QTY, 1TZH, 1TZI, 1VGH, 1VPF, 1VPP, 2FJG, 2FJH, 2QR0, 2VGH, 2VPF, 3BDY",NULL
178,Cytochrome b-245,"Cytochrome b-245 light chain alternative name(s):
p22 phagocyte B-cytochrome
Neutrophil cytochrome b 22 kDa polypeptide
p22-phox, p22phox
Cytochrome b(558) alpha chain
Cytochrome b558 subunit alpha
Superoxide-generating NADPH oxidase light chain subunit

Cytochrome b-245 heavy chain alternative name(s):
p22 phagocyte B-cytochrome
Neutrophil cytochrome b 91 kDa polypeptide
Heme-binding membrane glycoprotein gp91phox
CGD91-phox
gp91-phox
gp91-1
Cytochrome b(558) subunit beta, Cytochrome b558 subunit beta
Superoxide-generating NADPH oxidase heavy chain subunit
NADPH oxidase 2",Homo sapiens (Human):9606,Protein>Others,"Cytochrome b-245 light chain: P13498 , Cytochrome b-245 heavy chain: P04839 ","Cytochrome b-245 light chain: 1WLP
Cytochrome b-245 heavy chain: 3A1F ",NULL
179,Zona pellucida sperm-binding protein 3,"Zona pellucida glycoprotein 3, Zp-3
Zona pellucida protein C
Sperm receptor
ZP3A/ZP3B",Homo sapiens (Human):9606,Protein>Others,P21754,NULL,NULL
180,Anti-gp120 monoclonal antibody 17b,"Mab 17b (1.7b, sCD4-17b, 1.7B)",Homo sapiens (Human):9606,Protein>Monoclonal antibody,"GI:3319097, GI:3319096","1G9M, 1G9N, 1GC1, 1RZ8, 1RZJ, 1RZK, 1YYL, 1YYM, 2I5Y, 2I60, 2NXY, 2NXZ, 2NY0, 2NY1, 2NY2, 2NY3, 2NY4, 2NY5, 2NY6","The monoclonal antibody 17b is generated with an Epstein-Barr virus immortalized B-cell clone isolated from an HIV-1-infected individual by the laboratory of James Robinson (Tulaine University, New Orleans)."
181,Plasmodium,NULL,Plasmodium falciparum:5833,Cell,NULL,NULL,NULL
